match_days,match_href,match_title,match_result,match_ground,match_location
2018-03-16,https://www.cricbuzz.com/cricket-scores/20049/vs-6th-match-india-and-bangladesh-in-sri-lanka-t20i-tri-series-2018,"SRI LANKA vs BANGLADESH, 6th Match",Bangladesh won by 2 wkts,R.Premadasa Stadium,Colombo
2018-03-18,https://www.cricbuzz.com/cricket-scores/20050/vs-final-india-and-bangladesh-in-sri-lanka-t20i-tri-series-2018,"INDIA vs BANGLADESH, Final",India won by 4 wkts,R.Premadasa Stadium,Colombo
2018-02-25,https://www.cricbuzz.com/cricket-scores/18613/vs-1st-odi-england-tour-of-new-zealand-2018,"NEW ZEALAND vs ENGLAND, 1st ODI",New Zealand won by 3 wkts,Seddon Park,Hamilton
2018-02-25,https://www.cricbuzz.com/cricket-scores/18613/vs-1st-odi-england-tour-of-new-zealand-2018,"NEW ZEALAND vs ENGLAND, 1st ODI",New Zealand won by 3 wkts,Seddon Park,Hamilton
2018-02-28,https://www.cricbuzz.com/cricket-scores/18614/vs-2nd-odi-england-tour-of-new-zealand-2018,"NEW ZEALAND vs ENGLAND, 2nd ODI",England won by 6 wkts,Bay Oval,Mount Maunganui
2018-03-03,https://www.cricbuzz.com/cricket-scores/18615/vs-3rd-odi-england-tour-of-new-zealand-2018,"NEW ZEALAND vs ENGLAND, 3rd ODI",England won by 4 runs,Westpac Stadium,Wellington
2018-03-06,https://www.cricbuzz.com/cricket-scores/18616/vs-4th-odi-england-tour-of-new-zealand-2018,"NEW ZEALAND vs ENGLAND, 4th ODI",New Zealand won by 5 wkts,University Oval,Dunedin
2018-03-09,https://www.cricbuzz.com/cricket-scores/18617/vs-5th-odi-england-tour-of-new-zealand-2018,"NEW ZEALAND vs ENGLAND, 5th ODI",England won by 7 wkts,Hagley Oval,Christchurch
2018-03-14 | 2018-03-15,https://www.cricbuzz.com/cricket-scores/18618/vs-1st-2-day-practice-match-england-tour-of-new-zealand-2018,"NEW ZEALAND XI vs ENGLAND, 1st 2-day practice match",Match drawn,Seddon Park,Hamilton
2018-03-15 | 2018-03-16,https://www.cricbuzz.com/cricket-scores/18619/vs-2nd-2-day-practice-match-england-tour-of-new-zealand-2018,"NEW ZEALAND XI vs ENGLAND, 2nd 2-day practice match",Match drawn,Seddon Park,Hamilton
2018-03-22 | 2018-03-26,https://www.cricbuzz.com/cricket-scores/18620/vs-1st-test-england-tour-of-new-zealand-2018,"NEW ZEALAND vs ENGLAND, 1st Test",New Zealand won by an innings and 49 runs,Eden Park,Auckland
2018-03-29 | 2018-04-02,https://www.cricbuzz.com/cricket-scores/19955/vs-2nd-test-england-tour-of-new-zealand-2018,"NEW ZEALAND vs ENGLAND, 2nd Test",Match drawn,Hagley Oval,Christchurch
2018-02-22 | 2018-02-24,https://www.cricbuzz.com/cricket-scores/19185/vs-3-day-warm-up-match-australia-tour-of-south-africa-2018,"SOUTH AFRICA A vs AUSTRALIA, 3-day warm-up match",Australia won by 5 wkts,Willowmoore Park,Benoni
2018-02-22 | 2018-02-24,https://www.cricbuzz.com/cricket-scores/19185/vs-3-day-warm-up-match-australia-tour-of-south-africa-2018,"SOUTH AFRICA A vs AUSTRALIA, 3-day warm-up match",Australia won by 5 wkts,Willowmoore Park,Benoni
2018-03-01 | 2018-03-05,https://www.cricbuzz.com/cricket-scores/17859/vs-1st-test-australia-tour-of-south-africa-2018,"SOUTH AFRICA vs AUSTRALIA, 1st Test",Australia won by 118 runs,Kingsmead,Durban
2018-03-09 | 2018-03-13,https://www.cricbuzz.com/cricket-scores/17860/vs-2nd-test-australia-tour-of-south-africa-2018,"SOUTH AFRICA vs AUSTRALIA, 2nd Test",South Africa won by 6 wkts,St George's Park,Port Elizabeth
2018-03-22 | 2018-03-26,https://www.cricbuzz.com/cricket-scores/17861/vs-3rd-test-australia-tour-of-south-africa-2018,"SOUTH AFRICA vs AUSTRALIA, 3rd Test",South Africa won by 322 runs,Newlands,Cape Town
2018-03-30 | 2018-04-03,https://www.cricbuzz.com/cricket-scores/17862/vs-4th-test-australia-tour-of-south-africa-2018,"SOUTH AFRICA vs AUSTRALIA, 4th Test",South Africa won by 492 runs,New Wanderers Stadium,Johannesburg
2018-02-05,https://www.cricbuzz.com/cricket-scores/19317/vs-1st-t20i-afghanistan-v-zimbabwe-in-uae-2018,"AFGHANISTAN vs ZIMBABWE, 1st T20I",Afghanistan won by 5 wkts,Sharjah Cricket Association Stadium,Sharjah
2018-02-05,https://www.cricbuzz.com/cricket-scores/19317/vs-1st-t20i-afghanistan-v-zimbabwe-in-uae-2018,"AFGHANISTAN vs ZIMBABWE, 1st T20I",Afghanistan won by 5 wkts,Sharjah Cricket Association Stadium,Sharjah
2018-02-06,https://www.cricbuzz.com/cricket-scores/19318/vs-2nd-t20i-afghanistan-v-zimbabwe-in-uae-2018,"AFGHANISTAN vs ZIMBABWE, 2nd T20I",Afghanistan won by 17 runs,Sharjah Cricket Association Stadium,Sharjah
2018-02-09,https://www.cricbuzz.com/cricket-scores/19319/vs-1st-odi-afghanistan-v-zimbabwe-in-uae-2018,"AFGHANISTAN vs ZIMBABWE, 1st ODI",Afghanistan won by 154 runs,Sharjah Cricket Association Stadium,Sharjah
2018-02-11,https://www.cricbuzz.com/cricket-scores/19320/vs-2nd-odi-afghanistan-v-zimbabwe-in-uae-2018,"AFGHANISTAN vs ZIMBABWE, 2nd ODI",Zimbabwe won by 154 runs,Sharjah Cricket Association Stadium,Sharjah
2018-02-13,https://www.cricbuzz.com/cricket-scores/19321/vs-3rd-odi-afghanistan-v-zimbabwe-in-uae-2018,"AFGHANISTAN vs ZIMBABWE, 3rd ODI",Afghanistan won by 6 wkts,Sharjah Cricket Association Stadium,Sharjah
2018-02-16,https://www.cricbuzz.com/cricket-scores/19322/vs-4th-odi-afghanistan-v-zimbabwe-in-uae-2018,"AFGHANISTAN vs ZIMBABWE, 4th ODI",Afghanistan won by 10 wkts,Sharjah Cricket Association Stadium,Sharjah
2018-02-19,https://www.cricbuzz.com/cricket-scores/19323/vs-5th-odi-afghanistan-v-zimbabwe-in-uae-2018,"AFGHANISTAN vs ZIMBABWE, 5th ODI",Afghanistan won by 146 runs,Sharjah Cricket Association Stadium,Sharjah
2018-02-02,https://www.cricbuzz.com/cricket-scores/19219/vs-t20-warm-up-match-england-australia-new-zealand-t20i-tri-series-2018,"PRIME MINISTERS XI vs ENGLAND, T20 warm-up match",England won by 8 wkts,Manuka Oval,Canberra
2018-02-02,https://www.cricbuzz.com/cricket-scores/19219/vs-t20-warm-up-match-england-australia-new-zealand-t20i-tri-series-2018,"PRIME MINISTERS XI vs ENGLAND, T20 warm-up match",England won by 8 wkts,Manuka Oval,Canberra
2018-02-03,https://www.cricbuzz.com/cricket-scores/17698/vs-1st-match-england-australia-new-zealand-t20i-tri-series-2018,"AUSTRALIA vs NEW ZEALAND, 1st Match",Australia won by 7 wkts (DLS method-Match reduced to 15 ovs due to rain target 95),Sydney Cricket Ground,Sydney
2018-02-07,https://www.cricbuzz.com/cricket-scores/17699/vs-2nd-match-england-australia-new-zealand-t20i-tri-series-2018,"AUSTRALIA vs ENGLAND, 2nd Match",Australia won by 5 wkts,Bellerive Oval,Hobart
2018-02-10,https://www.cricbuzz.com/cricket-scores/17700/vs-3rd-match-england-australia-new-zealand-t20i-tri-series-2018,"AUSTRALIA vs ENGLAND, 3rd Match",Australia won by 7 wkts,Melbourne Cricket Ground,Melbourne
2018-02-13,https://www.cricbuzz.com/cricket-scores/17701/vs-4th-match-england-australia-new-zealand-t20i-tri-series-2018,"NEW ZEALAND vs ENGLAND, 4th Match",New Zealand won by 12 runs,Westpac Stadium,Wellington
