match_days,match_href,match_title,match_result,match_ground,match_location
1990-12-25,https://www.cricbuzz.com/cricket-scores/7321/vs-1st-match-bangladesh-india-sri-lanka-in-india-1990,"INDIA vs BANGLADESH, 1st Match",India won by 9 wickets (with 79 balls remaining),Sector 16 Stadium,Chandigarh
1990-12-25,https://www.cricbuzz.com/cricket-scores/7321/vs-1st-match-bangladesh-india-sri-lanka-in-india-1990,"INDIA vs BANGLADESH, 1st Match",India won by 9 wickets (with 79 balls remaining),Sector 16 Stadium,Chandigarh
1990-12-28,https://www.cricbuzz.com/cricket-scores/7322/vs-2nd-match-bangladesh-india-sri-lanka-in-india-1990,"INDIA vs SRI LANKA, 2nd Match",Sri Lanka won by 36 runs,Barabati Stadium,Cuttack
1990-12-31,https://www.cricbuzz.com/cricket-scores/7323/vs-3rd-match-bangladesh-india-sri-lanka-in-india-1990,"BANGLADESH vs SRI LANKA, 3rd Match",Sri Lanka won by 71 runs,Eden Gardens,Kolkata
1991-01-04,https://www.cricbuzz.com/cricket-scores/7324/vs-final-bangladesh-india-sri-lanka-in-india-1990,"INDIA vs SRI LANKA, Final",India won by 7 wickets (with 17 balls remaining),Eden Gardens,Kolkata
1990-12-20,https://www.cricbuzz.com/cricket-scores/7319/vs-1st-odi-pakistan-sri-lanka-in-united-arab-emirates-1990,"PAKISTAN vs SRI LANKA, 1st ODI",Sri Lanka won by 6 wickets (with 31 balls remaining),Sharjah Cricket Association Stadium,Sharjah
1990-12-20,https://www.cricbuzz.com/cricket-scores/7319/vs-1st-odi-pakistan-sri-lanka-in-united-arab-emirates-1990,"PAKISTAN vs SRI LANKA, 1st ODI",Sri Lanka won by 6 wickets (with 31 balls remaining),Sharjah Cricket Association Stadium,Sharjah
1990-12-21,https://www.cricbuzz.com/cricket-scores/7320/vs-2nd-odi-pakistan-sri-lanka-in-united-arab-emirates-1990,"PAKISTAN vs SRI LANKA, 2nd ODI",Pakistan won by 50 runs,Sharjah Cricket Association Stadium,Sharjah
1990-12-01,https://www.cricbuzz.com/cricket-scores/7316/vs-1st-odi-sri-lanka-in-india-odi-series-1990,"INDIA vs SRI LANKA, 1st ODI",India won by 19 runs,Vidarbha Cricket Association Ground,Nagpur
1990-12-01,https://www.cricbuzz.com/cricket-scores/7316/vs-1st-odi-sri-lanka-in-india-odi-series-1990,"INDIA vs SRI LANKA, 1st ODI",India won by 19 runs,Vidarbha Cricket Association Ground,Nagpur
1990-12-05,https://www.cricbuzz.com/cricket-scores/7317/vs-2nd-odi-sri-lanka-in-india-odi-series-1990,"INDIA vs SRI LANKA, 2nd ODI",India won by 6 wickets (with 21 balls remaining),Nehru Stadium,Pune
1990-12-08,https://www.cricbuzz.com/cricket-scores/7318/vs-3rd-odi-sri-lanka-in-india-odi-series-1990,"INDIA vs SRI LANKA, 3rd ODI",Sri Lanka won by 7 wickets (with 103 balls remaining),Nehru Stadium,Margao
1990-11-29,https://www.cricbuzz.com/cricket-scores/7325/vs-1st-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 1st Match",Australia won by 61 runs (revised target),Sydney Cricket Ground,Sydney
1990-11-29,https://www.cricbuzz.com/cricket-scores/7325/vs-1st-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 1st Match",Australia won by 61 runs (revised target),Sydney Cricket Ground,Sydney
1990-12-01,https://www.cricbuzz.com/cricket-scores/7326/vs-2nd-match-australia-england-new-zealand-in-australia-1990-91,"ENGLAND vs NEW ZEALAND, 2nd Match",New Zealand won by 7 runs,Adelaide Oval,Adelaide
1990-12-02,https://www.cricbuzz.com/cricket-scores/7327/vs-3rd-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 3rd Match",Australia won by 6 wickets (with 18 balls remaining),Adelaide Oval,Adelaide
1990-12-07,https://www.cricbuzz.com/cricket-scores/7328/vs-4th-match-australia-england-new-zealand-in-australia-1990-91,"ENGLAND vs NEW ZEALAND, 4th Match",England won by 4 wickets (with 37 balls remaining),W.A.C.A. Ground,Perth
1990-12-09,https://www.cricbuzz.com/cricket-scores/7329/vs-5th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 5th Match",Australia won by 6 wickets (with 54 balls remaining),W.A.C.A. Ground,Perth
1990-12-11,https://www.cricbuzz.com/cricket-scores/7330/vs-6th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 6th Match",Australia won by 39 runs,Melbourne Cricket Ground,Melbourne
1990-12-13,https://www.cricbuzz.com/cricket-scores/7331/vs-7th-match-australia-england-new-zealand-in-australia-1990-91,"ENGLAND vs NEW ZEALAND, 7th Match",England won by 33 runs,Sydney Cricket Ground,Sydney
1990-12-15,https://www.cricbuzz.com/cricket-scores/7332/vs-8th-match-australia-england-new-zealand-in-australia-1990-91,"ENGLAND vs NEW ZEALAND, 8th Match",New Zealand won by 8 wickets (with 33 balls remaining),The Gabba,Brisbane
1990-12-16,https://www.cricbuzz.com/cricket-scores/7333/vs-9th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 9th Match",Australia won by 37 runs,The Gabba,Brisbane
1990-12-18,https://www.cricbuzz.com/cricket-scores/7334/vs-10th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 10th Match",New Zealand won by 1 run,Bellerive Oval,Hobart
1991-01-01,https://www.cricbuzz.com/cricket-scores/7335/vs-11th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 11th Match",Australia won by 68 runs,Sydney Cricket Ground,Sydney
1991-01-10,https://www.cricbuzz.com/cricket-scores/7336/vs-12th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 12th Match",Australia won by 3 runs,Melbourne Cricket Ground,Melbourne
1991-01-13,https://www.cricbuzz.com/cricket-scores/7337/vs-1st-final-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 1st Final",Australia won by 6 wickets (with 5 balls remaining),Sydney Cricket Ground,Sydney
1991-01-15,https://www.cricbuzz.com/cricket-scores/7338/vs-2nd-final-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 2nd Final",Australia won by 7 wickets (with 27 balls remaining),Melbourne Cricket Ground,Melbourne
1990-11-23 | 1990-11-27,https://www.cricbuzz.com/cricket-scores/7461/vs-only-test-sri-lanka-in-india-test-match-1990,"INDIA vs SRI LANKA, Only Test",India won by an innings and 8 runs,Sector 16 Stadium,Chandigarh
1990-11-23 | 1990-11-27,https://www.cricbuzz.com/cricket-scores/7461/vs-only-test-sri-lanka-in-india-test-match-1990,"INDIA vs SRI LANKA, Only Test",India won by an innings and 8 runs,Sector 16 Stadium,Chandigarh
1990-11-23 | 1990-11-25,https://www.cricbuzz.com/cricket-scores/7465/vs-1st-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 1st Test",Australia won by 10 wickets,The Gabba,Brisbane
1990-11-23 | 1990-11-25,https://www.cricbuzz.com/cricket-scores/7465/vs-1st-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 1st Test",Australia won by 10 wickets,The Gabba,Brisbane
1990-12-26 | 1990-12-30,https://www.cricbuzz.com/cricket-scores/7466/vs-2nd-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 2nd Test",Australia won by 8 wickets,Melbourne Cricket Ground,Melbourne
1991-01-04 | 1991-01-08,https://www.cricbuzz.com/cricket-scores/7467/vs-3rd-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 3rd Test",Match drawn,Sydney Cricket Ground,Sydney
1991-01-25 | 1991-01-29,https://www.cricbuzz.com/cricket-scores/7468/vs-4th-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 4th Test",Match drawn,Adelaide Oval,Adelaide
1991-02-01 | 1991-02-05,https://www.cricbuzz.com/cricket-scores/7469/vs-5th-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 5th Test",Australia won by 9 wickets,W.A.C.A. Ground,Perth
1990-11-15 | 1990-11-20,https://www.cricbuzz.com/cricket-scores/7462/vs-1st-test-west-indies-in-pakistan-test-series-1990,"PAKISTAN vs WINDIES, 1st Test",Pakistan won by 8 wickets,National Stadium,Karachi
1990-11-15 | 1990-11-20,https://www.cricbuzz.com/cricket-scores/7462/vs-1st-test-west-indies-in-pakistan-test-series-1990,"PAKISTAN vs WINDIES, 1st Test",Pakistan won by 8 wickets,National Stadium,Karachi
1990-11-23 | 1990-11-25,https://www.cricbuzz.com/cricket-scores/7463/vs-2nd-test-west-indies-in-pakistan-test-series-1990,"PAKISTAN vs WINDIES, 2nd Test",West Indies won by 7 wickets,Iqbal Stadium,Faisalabad
1990-12-06 | 1990-12-11,https://www.cricbuzz.com/cricket-scores/7464/vs-3rd-test-west-indies-in-pakistan-test-series-1990,"PAKISTAN vs WINDIES, 3rd Test",Match drawn,Gaddafi Stadium,Lahore
1990-11-09,https://www.cricbuzz.com/cricket-scores/7313/vs-1st-odi-west-indies-in-pakistan-odi-series-1990,"PAKISTAN vs WINDIES, 1st ODI",Pakistan won by 6 runs,National Stadium,Karachi
1990-11-09,https://www.cricbuzz.com/cricket-scores/7313/vs-1st-odi-west-indies-in-pakistan-odi-series-1990,"PAKISTAN vs WINDIES, 1st ODI",Pakistan won by 6 runs,National Stadium,Karachi
1990-11-11,https://www.cricbuzz.com/cricket-scores/7314/vs-2nd-odi-west-indies-in-pakistan-odi-series-1990,"PAKISTAN vs WINDIES, 2nd ODI",Pakistan won by 5 wickets (with 11 balls remaining),Gaddafi Stadium,Lahore
1990-11-13,https://www.cricbuzz.com/cricket-scores/7315/vs-3rd-odi-west-indies-in-pakistan-odi-series-1990,"PAKISTAN vs WINDIES, 3rd ODI",Pakistan won by 31 runs,Ibn-e-Qasim Bagh Stadium,Multan
1990-11-02,https://www.cricbuzz.com/cricket-scores/7310/vs-1st-odi-new-zealand-in-pakistan-odi-series-1990,"PAKISTAN vs NEW ZEALAND, 1st ODI",Pakistan won by 19 runs,Gaddafi Stadium,Lahore
1990-11-02,https://www.cricbuzz.com/cricket-scores/7310/vs-1st-odi-new-zealand-in-pakistan-odi-series-1990,"PAKISTAN vs NEW ZEALAND, 1st ODI",Pakistan won by 19 runs,Gaddafi Stadium,Lahore
1990-11-04,https://www.cricbuzz.com/cricket-scores/7311/vs-2nd-odi-new-zealand-in-pakistan-odi-series-1990,"PAKISTAN vs NEW ZEALAND, 2nd ODI",Pakistan won by 8 wickets (with 65 balls remaining),Arbab Niaz Stadium,Peshawar
1990-11-06,https://www.cricbuzz.com/cricket-scores/7312/vs-3rd-odi-new-zealand-in-pakistan-odi-series-1990,"PAKISTAN vs NEW ZEALAND, 3rd ODI",Pakistan won by 105 runs,Jinnah Stadium,Sialkot
1990-10-10 | 1990-10-15,https://www.cricbuzz.com/cricket-scores/7458/vs-1st-test-new-zealand-in-pakistan-test-series-1990,"PAKISTAN vs NEW ZEALAND, 1st Test",Pakistan won by an innings and 43 runs,National Stadium,Karachi
1990-10-10 | 1990-10-15,https://www.cricbuzz.com/cricket-scores/7458/vs-1st-test-new-zealand-in-pakistan-test-series-1990,"PAKISTAN vs NEW ZEALAND, 1st Test",Pakistan won by an innings and 43 runs,National Stadium,Karachi
1990-10-18 | 1990-10-23,https://www.cricbuzz.com/cricket-scores/7459/vs-2nd-test-new-zealand-in-pakistan-test-series-1990,"PAKISTAN vs NEW ZEALAND, 2nd Test",Pakistan won by 9 wickets,Gaddafi Stadium,Lahore
1990-10-26 | 1990-10-31,https://www.cricbuzz.com/cricket-scores/7460/vs-3rd-test-new-zealand-in-pakistan-test-series-1990,"PAKISTAN vs NEW ZEALAND, 3rd Test",Pakistan won by 65 runs,Iqbal Stadium,Faisalabad
1990-07-26 | 1990-07-31,https://www.cricbuzz.com/cricket-scores/7455/vs-1st-test-india-in-england-test-series-1990,"ENGLAND vs INDIA, 1st Test",England won by 247 runs,Lord's,London
1990-07-26 | 1990-07-31,https://www.cricbuzz.com/cricket-scores/7455/vs-1st-test-india-in-england-test-series-1990,"ENGLAND vs INDIA, 1st Test",England won by 247 runs,Lord's,London
1990-08-09 | 1990-08-14,https://www.cricbuzz.com/cricket-scores/7456/vs-2nd-test-india-in-england-test-series-1990,"ENGLAND vs INDIA, 2nd Test",Match drawn,Old Trafford,Manchester
1990-08-23 | 1990-08-28,https://www.cricbuzz.com/cricket-scores/7457/vs-3rd-test-india-in-england-test-series-1990,"ENGLAND vs INDIA, 3rd Test",Match drawn,Kennington Oval,London
1990-07-18,https://www.cricbuzz.com/cricket-scores/7308/vs-1st-odi-india-in-england-1990,"ENGLAND vs INDIA, 1st ODI",India won by 6 wickets (with 12 balls remaining),Headingley,Leeds
1990-07-18,https://www.cricbuzz.com/cricket-scores/7308/vs-1st-odi-india-in-england-1990,"ENGLAND vs INDIA, 1st ODI",India won by 6 wickets (with 12 balls remaining),Headingley,Leeds
1990-07-20,https://www.cricbuzz.com/cricket-scores/7309/vs-2nd-odi-india-in-england-1990,"ENGLAND vs INDIA, 2nd ODI",India won by 5 wickets (with 12 balls remaining),Trent Bridge,Nottingham
1990-06-07 | 1990-06-12,https://www.cricbuzz.com/cricket-scores/7452/vs-1st-test-new-zealand-in-england-test-series-1990,"ENGLAND vs NEW ZEALAND, 1st Test",Match drawn,Trent Bridge,Nottingham
1990-06-07 | 1990-06-12,https://www.cricbuzz.com/cricket-scores/7452/vs-1st-test-new-zealand-in-england-test-series-1990,"ENGLAND vs NEW ZEALAND, 1st Test",Match drawn,Trent Bridge,Nottingham
1990-06-21 | 1990-06-26,https://www.cricbuzz.com/cricket-scores/7453/vs-2nd-test-new-zealand-in-england-test-series-1990,"ENGLAND vs NEW ZEALAND, 2nd Test",Match drawn,Lord's,London
1990-07-05 | 1990-07-10,https://www.cricbuzz.com/cricket-scores/7454/vs-3rd-test-new-zealand-in-england-test-series-1990,"ENGLAND vs NEW ZEALAND, 3rd Test",England won by 114 runs,Edgbaston,Birmingham
1990-05-23,https://www.cricbuzz.com/cricket-scores/7306/vs-1st-odi-new-zealand-in-england-1990,"ENGLAND vs NEW ZEALAND, 1st ODI",New Zealand won by 4 wickets (with 1 ball remaining),Headingley,Leeds
1990-05-23,https://www.cricbuzz.com/cricket-scores/7306/vs-1st-odi-new-zealand-in-england-1990,"ENGLAND vs NEW ZEALAND, 1st ODI",New Zealand won by 4 wickets (with 1 ball remaining),Headingley,Leeds
1990-05-25,https://www.cricbuzz.com/cricket-scores/7307/vs-2nd-odi-new-zealand-in-england-1990,"ENGLAND vs NEW ZEALAND, 2nd ODI",England won by 6 wickets (with 33 balls remaining),Kennington Oval,London
1990-04-25,https://www.cricbuzz.com/cricket-scores/7297/vs-1st-match-australia-bangladesh-india-new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1990-austra,"INDIA vs SRI LANKA, 1st Match",Sri Lanka won by 3 wickets (with 4 balls remaining),Sharjah Cricket Association Stadium,Sharjah
1990-04-25,https://www.cricbuzz.com/cricket-scores/7297/vs-1st-match-australia-bangladesh-india-new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1990-austra,"INDIA vs SRI LANKA, 1st Match",Sri Lanka won by 3 wickets (with 4 balls remaining),Sharjah Cricket Association Stadium,Sharjah
1990-04-26,https://www.cricbuzz.com/cricket-scores/7298/vs-2nd-match-australia-bangladesh-india-new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1990-austra,"AUSTRALIA vs NEW ZEALAND, 2nd Match",Australia won by 63 runs,Sharjah Cricket Association Stadium,Sharjah
1990-04-27,https://www.cricbuzz.com/cricket-scores/7299/vs-3rd-match-australia-bangladesh-india-new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1990-austra,"INDIA vs PAKISTAN, 3rd Match",Pakistan won by 26 runs,Sharjah Cricket Association Stadium,Sharjah
1990-04-28,https://www.cricbuzz.com/cricket-scores/7300/vs-4th-match-australia-bangladesh-india-new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1990-austra,"BANGLADESH vs NEW ZEALAND, 4th Match",New Zealand won by 161 runs,Sharjah Cricket Association Stadium,Sharjah
1990-04-29,https://www.cricbuzz.com/cricket-scores/7301/vs-5th-match-australia-bangladesh-india-new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1990-austra,"PAKISTAN vs SRI LANKA, 5th Match",Pakistan won by 90 runs,Sharjah Cricket Association Stadium,Sharjah
1990-04-30,https://www.cricbuzz.com/cricket-scores/7302/vs-6th-match-australia-bangladesh-india-new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1990-austra,"AUSTRALIA vs BANGLADESH, 6th Match",Australia won by 7 wickets (with 146 balls remaining),Sharjah Cricket Association Stadium,Sharjah
1990-05-01,https://www.cricbuzz.com/cricket-scores/7303/vs-1st-sf-australia-bangladesh-india-new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1990-austra,"NEW ZEALAND vs PAKISTAN, 1st SF",Pakistan won by 8 wickets (with 206 balls remaining),Sharjah Cricket Association Stadium,Sharjah
1990-05-02,https://www.cricbuzz.com/cricket-scores/7304/vs-2nd-sf-australia-bangladesh-india-new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1990-austra,"AUSTRALIA vs SRI LANKA, 2nd SF",Australia won by 114 runs,Sharjah Cricket Association Stadium,Sharjah
1990-05-04,https://www.cricbuzz.com/cricket-scores/7305/vs-final-australia-bangladesh-india-new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1990-austra,"AUSTRALIA vs PAKISTAN, Final",Pakistan won by 36 runs,Sharjah Cricket Association Stadium,Sharjah
1990-03-15 | 1990-03-19,https://www.cricbuzz.com/cricket-scores/7446/vs-only-test-australia-in-new-zealand-1990,"NEW ZEALAND vs AUSTRALIA, Only Test",New Zealand won by 9 wickets,Basin Reserve,Wellington
1990-03-15 | 1990-03-19,https://www.cricbuzz.com/cricket-scores/7446/vs-only-test-australia-in-new-zealand-1990,"NEW ZEALAND vs AUSTRALIA, Only Test",New Zealand won by 9 wickets,Basin Reserve,Wellington
1990-03-15,https://www.cricbuzz.com/cricket-scores/7291/vs-only-odi-england-in-west-indies-1990,"WINDIES vs ENGLAND, Only ODI",West Indies won by 7 wickets (with 52 balls remaining),Bourda,Georgetown
1990-03-15,https://www.cricbuzz.com/cricket-scores/7291/vs-only-odi-england-in-west-indies-1990,"WINDIES vs ENGLAND, Only ODI",West Indies won by 7 wickets (with 52 balls remaining),Bourda,Georgetown
1990-03-14,https://www.cricbuzz.com/cricket-scores/7290/vs-only-odi-england-in-west-indies1990,"WINDIES vs ENGLAND, Only ODI",Match abandoned without a ball bowled,Bourda,Georgetown
1990-03-14,https://www.cricbuzz.com/cricket-scores/7290/vs-only-odi-england-in-west-indies1990,"WINDIES vs ENGLAND, Only ODI",Match abandoned without a ball bowled,Bourda,Georgetown
1990-03-01,https://www.cricbuzz.com/cricket-scores/7283/vs-1st-match-australia-india-new-zealand-in-new-zealand-1990,"NEW ZEALAND vs INDIA, 1st Match",New Zealand won by 108 runs,Carisbrook,Dunedin
1990-03-01,https://www.cricbuzz.com/cricket-scores/7283/vs-1st-match-australia-india-new-zealand-in-new-zealand-1990,"NEW ZEALAND vs INDIA, 1st Match",New Zealand won by 108 runs,Carisbrook,Dunedin
1990-03-03,https://www.cricbuzz.com/cricket-scores/7284/vs-2nd-match-australia-india-new-zealand-in-new-zealand-1990,"AUSTRALIA vs INDIA, 2nd Match",Australia won by 18 runs,AMI Stadium,Christchurch
1990-03-04,https://www.cricbuzz.com/cricket-scores/7285/vs-3rd-match-australia-india-new-zealand-in-new-zealand-1990,"NEW ZEALAND vs AUSTRALIA, 3rd Match",Australia won by 150 runs,AMI Stadium,Christchurch
1990-03-06,https://www.cricbuzz.com/cricket-scores/7286/vs-4th-match-australia-india-new-zealand-in-new-zealand-1990,"NEW ZEALAND vs INDIA, 4th Match",India won by 1 run,Basin Reserve,Wellington
1990-03-08,https://www.cricbuzz.com/cricket-scores/7287/vs-5th-match-australia-india-new-zealand-in-new-zealand-1990,"AUSTRALIA vs INDIA, 5th Match",Australia won by 7 wickets (with 12 balls remaining),Seddon Park,Hamilton
1990-03-10,https://www.cricbuzz.com/cricket-scores/7288/vs-6th-match-australia-india-new-zealand-in-new-zealand-1990,"NEW ZEALAND vs AUSTRALIA, 6th Match",Australia won by 10 runs (revised target),Eden Park,Auckland
1990-03-11,https://www.cricbuzz.com/cricket-scores/7289/vs-final-australia-india-new-zealand-in-new-zealand-1990,"NEW ZEALAND vs AUSTRALIA, Final",Australia won by 8 wickets (with 65 balls remaining),Eden Park,Auckland
1990-02-24 | 1990-03-01,https://www.cricbuzz.com/cricket-scores/7447/vs-1st-test-england-in-west-indies-1990,"WINDIES vs ENGLAND, 1st Test",England won by 9 wickets,Sabina Park,Kingston
1990-02-24 | 1990-03-01,https://www.cricbuzz.com/cricket-scores/7447/vs-1st-test-england-in-west-indies-1990,"WINDIES vs ENGLAND, 1st Test",England won by 9 wickets,Sabina Park,Kingston
1990-03-10 | 1990-03-15,https://www.cricbuzz.com/cricket-scores/7448/vs-2nd-test-england-in-west-indies-1990,"WINDIES vs ENGLAND, 2nd Test",Match abandoned without a ball bowled,Bourda,Georgetown
1990-03-23 | 1990-03-28,https://www.cricbuzz.com/cricket-scores/7449/vs-3rd-test-england-in-west-indies-1990,"WINDIES vs ENGLAND, 3rd Test",Match drawn,Queen's Park Oval,Port of Spain
1990-04-05 | 1990-04-10,https://www.cricbuzz.com/cricket-scores/7450/vs-4th-test-england-in-west-indies-1990,"WINDIES vs ENGLAND, 4th Test",West Indies won by 164 runs,Kensington Oval,Bridgetown
1990-04-12 | 1990-04-16,https://www.cricbuzz.com/cricket-scores/7451/vs-5th-test-england-in-west-indies-1990,"WINDIES vs ENGLAND, 5th Test",West Indies won by an innings and 32 runs,Antigua Recreation Ground,St John's
1990-02-14,https://www.cricbuzz.com/cricket-scores/7292/vs-1st-odi-england-in-west-indies-odi-series-1990,"WINDIES vs ENGLAND, 1st ODI",No result,Queen's Park Oval,Port of Spain
1990-02-14,https://www.cricbuzz.com/cricket-scores/7292/vs-1st-odi-england-in-west-indies-odi-series-1990,"WINDIES vs ENGLAND, 1st ODI",No result,Queen's Park Oval,Port of Spain
1990-02-17,https://www.cricbuzz.com/cricket-scores/7293/vs-2nd-odi-england-in-west-indies-odi-series-1990,"WINDIES vs ENGLAND, 2nd ODI",No result,Queen's Park Oval,Port of Spain
1990-03-03,https://www.cricbuzz.com/cricket-scores/7294/vs-3rd-odi-england-in-west-indies-odi-series-1990,"WINDIES vs ENGLAND, 3rd ODI",West Indies won by 3 wickets (with 0 balls remaining),Sabina Park,Kingston
1990-03-07,https://www.cricbuzz.com/cricket-scores/7295/vs-4th-odi-england-in-west-indies-odi-series-1990,"WINDIES vs ENGLAND, 4th ODI",West Indies won by 6 wickets (with 16 balls remaining),Bourda,Georgetown
1990-04-03,https://www.cricbuzz.com/cricket-scores/7296/vs-5th-odi-england-in-west-indies-odi-series-1990,"WINDIES vs ENGLAND, 5th ODI",West Indies won by 4 wickets (with 3 balls remaining),Kensington Oval,Bridgetown
1990-02-02 | 1990-02-05,https://www.cricbuzz.com/cricket-scores/7443/vs-1st-test-india-in-new-zealand-test-series-1990,"NEW ZEALAND vs INDIA, 1st Test",New Zealand won by 10 wickets,AMI Stadium,Christchurch
1990-02-02 | 1990-02-05,https://www.cricbuzz.com/cricket-scores/7443/vs-1st-test-india-in-new-zealand-test-series-1990,"NEW ZEALAND vs INDIA, 1st Test",New Zealand won by 10 wickets,AMI Stadium,Christchurch
1990-02-09 | 1990-02-13,https://www.cricbuzz.com/cricket-scores/7444/vs-2nd-test-india-in-new-zealand-test-series-1990,"NEW ZEALAND vs INDIA, 2nd Test",Match drawn,McLean Park,Napier
1990-02-22 | 1990-02-26,https://www.cricbuzz.com/cricket-scores/7445/vs-3rd-test-india-in-new-zealand-test-series-1990,"NEW ZEALAND vs INDIA, 3rd Test",Match drawn,Eden Park,Auckland
1990-01-12 | 1990-01-16,https://www.cricbuzz.com/cricket-scores/7440/vs-1st-test-pakistan-in-australia-test-series-1990,"AUSTRALIA vs PAKISTAN, 1st Test",Australia won by 92 runs,Melbourne Cricket Ground,Melbourne
1990-01-12 | 1990-01-16,https://www.cricbuzz.com/cricket-scores/7440/vs-1st-test-pakistan-in-australia-test-series-1990,"AUSTRALIA vs PAKISTAN, 1st Test",Australia won by 92 runs,Melbourne Cricket Ground,Melbourne
1990-01-19 | 1990-01-23,https://www.cricbuzz.com/cricket-scores/7441/vs-2nd-test-pakistan-in-australia-test-series-1990,"AUSTRALIA vs PAKISTAN, 2nd Test",Match drawn,Adelaide Oval,Adelaide
1990-02-03 | 1990-02-08,https://www.cricbuzz.com/cricket-scores/7442/vs-3rd-test-pakistan-in-australia-test-series-1990,"AUSTRALIA vs PAKISTAN, 3rd Test",Match drawn,Sydney Cricket Ground,Sydney
1991-12-12 | 1991-12-17,https://www.cricbuzz.com/cricket-scores/6971/vs-1st-test-sri-lanka-in-pakistan-test-series-1991-92,"PAKISTAN vs SRI LANKA, 1st Test",Match drawn,Jinnah Stadium,Sialkot
1991-12-12 | 1991-12-17,https://www.cricbuzz.com/cricket-scores/6971/vs-1st-test-sri-lanka-in-pakistan-test-series-1991-92,"PAKISTAN vs SRI LANKA, 1st Test",Match drawn,Jinnah Stadium,Sialkot
1991-12-20 | 1991-12-25,https://www.cricbuzz.com/cricket-scores/6972/vs-2nd-test-sri-lanka-in-pakistan-test-series-1991-92,"PAKISTAN vs SRI LANKA, 2nd Test",Match drawn,Jinnah Stadium,Gujranwala
1992-01-02 | 1992-01-07,https://www.cricbuzz.com/cricket-scores/6973/vs-3rd-test-sri-lanka-in-pakistan-test-series-1991-92,"PAKISTAN vs SRI LANKA, 3rd Test",Pakistan won by 3 wickets,Iqbal Stadium,Faisalabad
1991-12-06,https://www.cricbuzz.com/cricket-scores/6747/vs-1st-match-australia-india-west-indies-in-australia-1991,"INDIA vs WINDIES, 1st Match",Match tied,W.A.C.A. Ground,Perth
1991-12-06,https://www.cricbuzz.com/cricket-scores/6747/vs-1st-match-australia-india-west-indies-in-australia-1991,"INDIA vs WINDIES, 1st Match",Match tied,W.A.C.A. Ground,Perth
1991-12-08,https://www.cricbuzz.com/cricket-scores/6748/vs-2nd-match-australia-india-west-indies-in-australia-1991,"AUSTRALIA vs INDIA, 2nd Match",India won by 107 runs,W.A.C.A. Ground,Perth
1991-12-10,https://www.cricbuzz.com/cricket-scores/6749/vs-3rd-match-australia-india-west-indies-in-australia-1991,"AUSTRALIA vs INDIA, 3rd Match",Australia won by 8 wickets (with 9 balls remaining),Bellerive Oval,Hobart
1991-12-12,https://www.cricbuzz.com/cricket-scores/6750/vs-4th-match-australia-india-west-indies-in-australia-1991,"AUSTRALIA vs WINDIES, 4th Match",Australia won by 9 runs,Melbourne Cricket Ground,Melbourne
1991-12-14,https://www.cricbuzz.com/cricket-scores/6751/vs-5th-match-australia-india-west-indies-in-australia-1991,"INDIA vs WINDIES, 5th Match",India won by 10 runs,Adelaide Oval,Adelaide
1991-12-15,https://www.cricbuzz.com/cricket-scores/6752/vs-6th-match-australia-india-west-indies-in-australia-1991,"AUSTRALIA vs INDIA, 6th Match",Australia won by 6 wickets (with 55 balls remaining),Adelaide Oval,Adelaide
1991-12-18,https://www.cricbuzz.com/cricket-scores/6753/vs-7th-match-australia-india-west-indies-in-australia-1991,"AUSTRALIA vs WINDIES, 7th Match",Australia won by 51 runs,Sydney Cricket Ground,Sydney
