title,year,duration_text,href
"Australia, Pakistan, West Indies in Australia, 1992-93 ",1992,Dec 05 - Jan 17,https://www.cricbuzz.com/cricket-series/605/australia-pakistan-west-indies-in-australia-1992-93/matches
"New Zealand in Sri Lanka ODI Series, 1992 ",1992,Dec 05 - Dec 12,https://www.cricbuzz.com/cricket-series/602/new-zealand-in-sri-lanka-odi-series-1992/matches
"New Zealand in Sri Lanka Test Series, 1992 ",1992,Nov 28 - Dec 08,https://www.cricbuzz.com/cricket-series/1337/new-zealand-in-sri-lanka-test-series-1992/matches
"West Indies in Australia, 1992-93 ",1992,Nov 28 - Jan 31,https://www.cricbuzz.com/cricket-series/1340/west-indies-in-australia-1992-93/matches
"India in South Africa Test Series, 1992-93 ",1992,Nov 14 - Jan 05,https://www.cricbuzz.com/cricket-series/1339/india-in-south-africa-test-series-1992-93/matches
"New Zealand in Zimbabwe Test Series, 1992 ",1992,Nov 02 - Nov 11,https://www.cricbuzz.com/cricket-series/1336/new-zealand-in-zimbabwe-test-series-1992/matches
"New Zealand in Zimbabwe ODI Series, 1992 ",1992,Nov 01 - Nov 07,https://www.cricbuzz.com/cricket-series/601/new-zealand-in-zimbabwe-odi-series-1992/matches
"India in Zimbabwe ODI Match, 1992 ",1992,Oct 26 - Oct 24,https://www.cricbuzz.com/cricket-series/600/india-in-zimbabwe-odi-match-1992/matches
"India in Zimbabwe Test Match, 1992 ",1992,Oct 19 - Oct 21,https://www.cricbuzz.com/cricket-series/1335/india-in-zimbabwe-test-match-1992/matches
"Australia in Sri Lanka Test Series, 1992 ",1992,Aug 18 - Sep 12,https://www.cricbuzz.com/cricket-series/1334/australia-in-sri-lanka-test-series-1992/matches
"Australia in Sri Lanka ODI Series, 1992 ",1992,Aug 16 - Sep 04,https://www.cricbuzz.com/cricket-series/599/australia-in-sri-lanka-odi-series-1992/matches
"Pakistan in England Test Series, 1992 ",1992,Jun 05 - Aug 08,https://www.cricbuzz.com/cricket-series/1333/pakistan-in-england-test-series-1992/matches
"Pakistan in England, 1992 ",1992,May 21 - Aug 23,https://www.cricbuzz.com/cricket-series/598/pakistan-in-england-1992/matches
"South Africa in West Indies Test Match, 1992 ",1992,Apr 19 - Apr 22,https://www.cricbuzz.com/cricket-series/1332/south-africa-in-west-indies-test-match-1992/matches
"South Africa in West Indies ODI Series, 1992 ",1992,Apr 08 - Apr 11,https://www.cricbuzz.com/cricket-series/597/south-africa-in-west-indies-odi-series-1992/matches
"Benson Hedges World Cup, 1992 ",1992,Feb 23 - Mar 24,https://www.cricbuzz.com/cricket-series/596/benson-hedges-world-cup-1992/matches
"England in New Zealand Test Series, 1992 ",1992,Jan 19 - Feb 09,https://www.cricbuzz.com/cricket-series/1331/england-in-new-zealand-test-series-1992/matches
"England in New Zealand ODI Series, 1992 ",1992,Jan 12 - Feb 14,https://www.cricbuzz.com/cricket-series/595/england-in-new-zealand-odi-series-1992/matches
"Sri Lanka in Pakistan ODI Series, 1992 ",1992,Jan 11 - Jan 18,https://www.cricbuzz.com/cricket-series/593/sri-lanka-in-pakistan-odi-series-1992/matches
"South Africa in Australia Test Series, 1993-94 ",1993,Dec 27 - Jan 31,https://www.cricbuzz.com/cricket-series/1352/south-africa-in-australia-test-series-1993-94/matches
"Zimbabwe in Pakistan ODI Series, 1993 ",1993,Dec 25 - Dec 26,https://www.cricbuzz.com/cricket-series/620/zimbabwe-in-pakistan-odi-series-1993/matches
"Australia, New Zealand, South Africa in Australia, 1993-94 ",1993,Dec 10 - Jan 24,https://www.cricbuzz.com/cricket-series/621/australia-new-zealand-south-africa-in-australia-1993-94/matches
"West Indies in Sri Lanka Test Match, 1993 ",1993,Dec 09 - Dec 12,https://www.cricbuzz.com/cricket-series/1350/west-indies-in-sri-lanka-test-match-1993/matches
"Zimbabwe in Pakistan Test Series, 1993 ",1993,Dec 02 - Dec 20,https://www.cricbuzz.com/cricket-series/1351/zimbabwe-in-pakistan-test-series-1993/matches
"West Indies in Sri Lanka ODI Series, 1993 ",1993,Dec 02 - Dec 17,https://www.cricbuzz.com/cricket-series/619/west-indies-in-sri-lanka-odi-series-1993/matches
"New Zealand in Australia, 1993 ",1993,Nov 13 - Dec 06,https://www.cricbuzz.com/cricket-series/1349/new-zealand-in-australia-1993/matches
"India, South Africa, Sri Lanka, West Indies, Zimbabwe in India, 1993 ",1993,Nov 08 - Nov 26,https://www.cricbuzz.com/cricket-series/618/india-south-africa-sri-lanka-west-indies-zimbabwe-in-india-1993/matches
"Pakistan, Sri Lanka, West Indies in United Arab Emirates, 1993 ",1993,Oct 29 - Nov 04,https://www.cricbuzz.com/cricket-series/617/pakistan-sri-lanka-west-indies-in-united-arab-emirates-1993/matches
"South Africa in Sri Lanka Test Series, 1993 ",1993,Aug 26 - Sep 18,https://www.cricbuzz.com/cricket-series/1348/south-africa-in-sri-lanka-test-series-1993/matches
"South Africa in Sri Lanka ODI Series, 1993 ",1993,Aug 23 - Sep 03,https://www.cricbuzz.com/cricket-series/616/south-africa-in-sri-lanka-odi-series-1993/matches
"India in Sri Lanka ODI Series, 1993 ",1993,Jul 26 - Aug 13,https://www.cricbuzz.com/cricket-series/615/india-in-sri-lanka-odi-series-1993/matches
"India in Sri Lanka Test Series, 1993 ",1993,Jul 18 - Aug 08,https://www.cricbuzz.com/cricket-series/1346/india-in-sri-lanka-test-series-1993/matches
"Australia in England, 1993 ",1993,Jun 04 - Aug 22,https://www.cricbuzz.com/cricket-series/1347/australia-in-england-1993/matches
"Australia in England, 1993 ",1993,May 20 - May 22,https://www.cricbuzz.com/cricket-series/614/australia-in-england-1993/matches
